;monument;count;cumul_count;year;month;id_month
1;colisee;485;485;2017;JANVIER;1
59;doges;259;259;2017;JANVIER;1
117;fontaine_de_trevi;1293;1293;2017;JANVIER;1
175;pantheon;319;319;2017;JANVIER;1
233;piazza_san_marco;222;222;2017;JANVIER;1
291;pont_du_raltio;203;203;2017;JANVIER;1
2;colisee;404;889;2017;FEVRIER;2
60;doges;260;519;2017;FEVRIER;2
118;fontaine_de_trevi;1440;2733;2017;FEVRIER;2
176;pantheon;154;473;2017;FEVRIER;2
234;piazza_san_marco;248;470;2017;FEVRIER;2
292;pont_du_raltio;193;396;2017;FEVRIER;2
3;colisee;499;1388;2017;MARS;3
61;doges;341;860;2017;MARS;3
119;fontaine_de_trevi;2086;4819;2017;MARS;3
177;pantheon;268;741;2017;MARS;3
235;piazza_san_marco;385;855;2017;MARS;3
293;pont_du_raltio;247;643;2017;MARS;3
4;colisee;1062;2450;2017;AVRIL;4
62;doges;473;1333;2017;AVRIL;4
120;fontaine_de_trevi;2249;7068;2017;AVRIL;4
178;pantheon;402;1143;2017;AVRIL;4
236;piazza_san_marco;547;1402;2017;AVRIL;4
294;pont_du_raltio;306;949;2017;AVRIL;4
5;colisee;1811;4261;2017;MAI;5
63;doges;382;1715;2017;MAI;5
121;fontaine_de_trevi;2487;9555;2017;MAI;5
179;pantheon;292;1435;2017;MAI;5
237;piazza_san_marco;500;1902;2017;MAI;5
295;pont_du_raltio;226;1175;2017;MAI;5
6;colisee;1640;5901;2017;JUIN;6
64;doges;290;2005;2017;JUIN;6
122;fontaine_de_trevi;2044;11599;2017;JUIN;6
180;pantheon;202;1637;2017;JUIN;6
238;piazza_san_marco;434;2336;2017;JUIN;6
296;pont_du_raltio;206;1381;2017;JUIN;6
7;colisee;1823;7724;2017;JUILLET;7
65;doges;264;2269;2017;JUILLET;7
123;fontaine_de_trevi;2083;13682;2017;JUILLET;7
181;pantheon;340;1977;2017;JUILLET;7
239;piazza_san_marco;432;2768;2017;JUILLET;7
297;pont_du_raltio;216;1597;2017;JUILLET;7
8;colisee;1640;9364;2017;AOUT;8
66;doges;162;2431;2017;AOUT;8
124;fontaine_de_trevi;2012;15694;2017;AOUT;8
182;pantheon;225;2202;2017;AOUT;8
240;piazza_san_marco;408;3176;2017;AOUT;8
298;pont_du_raltio;201;1798;2017;AOUT;8
9;colisee;2023;11387;2017;SEPTEMBRE;9
67;doges;378;2809;2017;SEPTEMBRE;9
125;fontaine_de_trevi;2593;18287;2017;SEPTEMBRE;9
183;pantheon;366;2568;2017;SEPTEMBRE;9
241;piazza_san_marco;588;3764;2017;SEPTEMBRE;9
299;pont_du_raltio;324;2122;2017;SEPTEMBRE;9
10;colisee;1886;13273;2017;OCTOBRE;10
68;doges;290;3099;2017;OCTOBRE;10
126;fontaine_de_trevi;2471;20758;2017;OCTOBRE;10
184;pantheon;353;2921;2017;OCTOBRE;10
242;piazza_san_marco;463;4227;2017;OCTOBRE;10
300;pont_du_raltio;257;2379;2017;OCTOBRE;10
11;colisee;1407;14680;2017;NOVEMBRE;11
69;doges;203;3302;2017;NOVEMBRE;11
127;fontaine_de_trevi;1635;22393;2017;NOVEMBRE;11
185;pantheon;268;3189;2017;NOVEMBRE;11
243;piazza_san_marco;306;4533;2017;NOVEMBRE;11
301;pont_du_raltio;174;2553;2017;NOVEMBRE;11
12;colisee;1130;15810;2017;DECEMBRE;12
70;doges;185;3487;2017;DECEMBRE;12
128;fontaine_de_trevi;1248;23641;2017;DECEMBRE;12
186;pantheon;344;3533;2017;DECEMBRE;12
244;piazza_san_marco;237;4770;2017;DECEMBRE;12
302;pont_du_raltio;127;2680;2017;DECEMBRE;12
13;colisee;1121;1121;2018;JANVIER;1
71;doges;224;224;2018;JANVIER;1
129;fontaine_de_trevi;1393;1393;2018;JANVIER;1
187;pantheon;356;356;2018;JANVIER;1
245;piazza_san_marco;272;272;2018;JANVIER;1
303;pont_du_raltio;192;192;2018;JANVIER;1
14;colisee;1034;2155;2018;FEVRIER;2
72;doges;178;402;2018;FEVRIER;2
130;fontaine_de_trevi;1347;2740;2018;FEVRIER;2
188;pantheon;244;600;2018;FEVRIER;2
246;piazza_san_marco;238;510;2018;FEVRIER;2
304;pont_du_raltio;162;354;2018;FEVRIER;2
15;colisee;1360;3515;2018;MARS;3
73;doges;305;707;2018;MARS;3
131;fontaine_de_trevi;1630;4370;2018;MARS;3
189;pantheon;393;993;2018;MARS;3
247;piazza_san_marco;353;863;2018;MARS;3
305;pont_du_raltio;253;607;2018;MARS;3
16;colisee;1644;5159;2018;AVRIL;4
74;doges;327;1034;2018;AVRIL;4
132;fontaine_de_trevi;2033;6403;2018;AVRIL;4
190;pantheon;604;1597;2018;AVRIL;4
248;piazza_san_marco;394;1257;2018;AVRIL;4
306;pont_du_raltio;270;877;2018;AVRIL;4
17;colisee;1449;6608;2018;MAI;5
75;doges;310;1344;2018;MAI;5
133;fontaine_de_trevi;2271;8674;2018;MAI;5
191;pantheon;868;2465;2018;MAI;5
249;piazza_san_marco;424;1681;2018;MAI;5
307;pont_du_raltio;267;1144;2018;MAI;5
18;colisee;942;7550;2018;JUIN;6
76;doges;265;1609;2018;JUIN;6
134;fontaine_de_trevi;1925;10599;2018;JUIN;6
192;pantheon;745;3210;2018;JUIN;6
250;piazza_san_marco;364;2045;2018;JUIN;6
308;pont_du_raltio;228;1372;2018;JUIN;6
19;colisee;935;8485;2018;JUILLET;7
77;doges;266;1875;2018;JUILLET;7
135;fontaine_de_trevi;1983;12582;2018;JUILLET;7
193;pantheon;809;4019;2018;JUILLET;7
251;piazza_san_marco;397;2442;2018;JUILLET;7
309;pont_du_raltio;270;1642;2018;JUILLET;7
20;colisee;1193;9678;2018;AOUT;8
78;doges;208;2083;2018;AOUT;8
136;fontaine_de_trevi;1747;14329;2018;AOUT;8
194;pantheon;691;4710;2018;AOUT;8
252;piazza_san_marco;351;2793;2018;AOUT;8
310;pont_du_raltio;204;1846;2018;AOUT;8
21;colisee;1594;11272;2018;SEPTEMBRE;9
79;doges;317;2400;2018;SEPTEMBRE;9
137;fontaine_de_trevi;2105;16434;2018;SEPTEMBRE;9
195;pantheon;893;5603;2018;SEPTEMBRE;9
253;piazza_san_marco;457;3250;2018;SEPTEMBRE;9
311;pont_du_raltio;271;2117;2018;SEPTEMBRE;9
22;colisee;2031;13303;2018;OCTOBRE;10
80;doges;269;2669;2018;OCTOBRE;10
138;fontaine_de_trevi;1865;18299;2018;OCTOBRE;10
196;pantheon;832;6435;2018;OCTOBRE;10
254;piazza_san_marco;389;3639;2018;OCTOBRE;10
312;pont_du_raltio;266;2383;2018;OCTOBRE;10
23;colisee;1387;14690;2018;NOVEMBRE;11
81;doges;176;2845;2018;NOVEMBRE;11
139;fontaine_de_trevi;1177;19476;2018;NOVEMBRE;11
197;pantheon;593;7028;2018;NOVEMBRE;11
255;piazza_san_marco;236;3875;2018;NOVEMBRE;11
313;pont_du_raltio;154;2537;2018;NOVEMBRE;11
24;colisee;983;15673;2018;DECEMBRE;12
82;doges;95;2940;2018;DECEMBRE;12
140;fontaine_de_trevi;819;20295;2018;DECEMBRE;12
198;pantheon;404;7432;2018;DECEMBRE;12
256;piazza_san_marco;136;4011;2018;DECEMBRE;12
314;pont_du_raltio;101;2638;2018;DECEMBRE;12
25;colisee;1084;1084;2019;JANVIER;1
83;doges;126;126;2019;JANVIER;1
141;fontaine_de_trevi;984;984;2019;JANVIER;1
199;pantheon;495;495;2019;JANVIER;1
257;piazza_san_marco;147;147;2019;JANVIER;1
315;pont_du_raltio;133;133;2019;JANVIER;1
26;colisee;749;1833;2019;FEVRIER;2
84;doges;90;216;2019;FEVRIER;2
142;fontaine_de_trevi;827;1811;2019;FEVRIER;2
200;pantheon;366;861;2019;FEVRIER;2
258;piazza_san_marco;131;278;2019;FEVRIER;2
316;pont_du_raltio;95;228;2019;FEVRIER;2
27;colisee;891;2724;2019;MARS;3
85;doges;209;425;2019;MARS;3
143;fontaine_de_trevi;1233;3044;2019;MARS;3
201;pantheon;563;1424;2019;MARS;3
259;piazza_san_marco;231;509;2019;MARS;3
317;pont_du_raltio;178;406;2019;MARS;3
28;colisee;1075;3799;2019;AVRIL;4
86;doges;291;716;2019;AVRIL;4
144;fontaine_de_trevi;1323;4367;2019;AVRIL;4
202;pantheon;666;2090;2019;AVRIL;4
260;piazza_san_marco;278;787;2019;AVRIL;4
318;pont_du_raltio;193;599;2019;AVRIL;4
29;colisee;1087;4886;2019;MAI;5
87;doges;232;948;2019;MAI;5
145;fontaine_de_trevi;1472;5839;2019;MAI;5
203;pantheon;626;2716;2019;MAI;5
261;piazza_san_marco;215;1002;2019;MAI;5
319;pont_du_raltio;158;757;2019;MAI;5
30;colisee;967;5853;2019;JUIN;6
88;doges;199;1147;2019;JUIN;6
146;fontaine_de_trevi;1307;7146;2019;JUIN;6
204;pantheon;503;3219;2019;JUIN;6
262;piazza_san_marco;224;1226;2019;JUIN;6
320;pont_du_raltio;149;906;2019;JUIN;6
31;colisee;1160;7013;2019;JUILLET;7
89;doges;148;1295;2019;JUILLET;7
147;fontaine_de_trevi;1295;8441;2019;JUILLET;7
205;pantheon;468;3687;2019;JUILLET;7
263;piazza_san_marco;241;1467;2019;JUILLET;7
321;pont_du_raltio;150;1056;2019;JUILLET;7
32;colisee;917;7930;2019;AOUT;8
90;doges;148;1443;2019;AOUT;8
148;fontaine_de_trevi;1094;9535;2019;AOUT;8
206;pantheon;402;4089;2019;AOUT;8
264;piazza_san_marco;184;1651;2019;AOUT;8
322;pont_du_raltio;141;1197;2019;AOUT;8
33;colisee;1083;9013;2019;SEPTEMBRE;9
91;doges;210;1653;2019;SEPTEMBRE;9
149;fontaine_de_trevi;1441;10976;2019;SEPTEMBRE;9
207;pantheon;537;4626;2019;SEPTEMBRE;9
265;piazza_san_marco;246;1897;2019;SEPTEMBRE;9
323;pont_du_raltio;193;1390;2019;SEPTEMBRE;9
34;colisee;1105;10118;2019;OCTOBRE;10
92;doges;185;1838;2019;OCTOBRE;10
150;fontaine_de_trevi;1418;12394;2019;OCTOBRE;10
208;pantheon;526;5152;2019;OCTOBRE;10
266;piazza_san_marco;209;2106;2019;OCTOBRE;10
324;pont_du_raltio;140;1530;2019;OCTOBRE;10
35;colisee;665;10783;2019;NOVEMBRE;11
93;doges;98;1936;2019;NOVEMBRE;11
151;fontaine_de_trevi;773;13167;2019;NOVEMBRE;11
209;pantheon;300;5452;2019;NOVEMBRE;11
267;piazza_san_marco;103;2209;2019;NOVEMBRE;11
325;pont_du_raltio;87;1617;2019;NOVEMBRE;11
36;colisee;486;11269;2019;DECEMBRE;12
94;doges;63;1999;2019;DECEMBRE;12
152;fontaine_de_trevi;510;13677;2019;DECEMBRE;12
210;pantheon;225;5677;2019;DECEMBRE;12
268;piazza_san_marco;65;2274;2019;DECEMBRE;12
326;pont_du_raltio;43;1660;2019;DECEMBRE;12
37;colisee;589;589;2020;JANVIER;1
95;doges;88;88;2020;JANVIER;1
153;fontaine_de_trevi;620;620;2020;JANVIER;1
211;pantheon;258;258;2020;JANVIER;1
269;piazza_san_marco;97;97;2020;JANVIER;1
327;pont_du_raltio;55;55;2020;JANVIER;1
38;colisee;467;1056;2020;FEVRIER;2
96;doges;70;158;2020;FEVRIER;2
154;fontaine_de_trevi;526;1146;2020;FEVRIER;2
212;pantheon;225;483;2020;FEVRIER;2
270;piazza_san_marco;96;193;2020;FEVRIER;2
328;pont_du_raltio;55;110;2020;FEVRIER;2
39;colisee;106;1162;2020;MARS;3
97;doges;9;167;2020;MARS;3
155;fontaine_de_trevi;118;1264;2020;MARS;3
213;pantheon;50;533;2020;MARS;3
271;piazza_san_marco;13;206;2020;MARS;3
329;pont_du_raltio;10;120;2020;MARS;3
40;colisee;14;1176;2020;AVRIL;4
98;doges;1;168;2020;AVRIL;4
156;fontaine_de_trevi;8;1272;2020;AVRIL;4
214;pantheon;2;535;2020;AVRIL;4
272;piazza_san_marco;2;208;2020;AVRIL;4
330;pont_du_raltio;23;143;2020;AVRIL;4
41;colisee;15;1191;2020;MAI;5
99;doges;3;171;2020;MAI;5
157;fontaine_de_trevi;9;1281;2020;MAI;5
215;pantheon;10;545;2020;MAI;5
273;piazza_san_marco;3;211;2020;MAI;5
331;pont_du_raltio;1;144;2020;MAI;5
42;colisee;38;1229;2020;JUIN;6
100;doges;22;193;2020;JUIN;6
158;fontaine_de_trevi;33;1314;2020;JUIN;6
216;pantheon;20;565;2020;JUIN;6
274;piazza_san_marco;23;234;2020;JUIN;6
332;pont_du_raltio;10;154;2020;JUIN;6
43;colisee;138;1367;2020;JUILLET;7
101;doges;50;243;2020;JUILLET;7
159;fontaine_de_trevi;119;1433;2020;JUILLET;7
217;pantheon;76;641;2020;JUILLET;7
275;piazza_san_marco;37;271;2020;JUILLET;7
333;pont_du_raltio;25;179;2020;JUILLET;7
44;colisee;190;1557;2020;AOUT;8
102;doges;79;322;2020;AOUT;8
160;fontaine_de_trevi;149;1582;2020;AOUT;8
218;pantheon;64;705;2020;AOUT;8
276;piazza_san_marco;49;320;2020;AOUT;8
334;pont_du_raltio;37;216;2020;AOUT;8
45;colisee;182;1739;2020;SEPTEMBRE;9
103;doges;89;411;2020;SEPTEMBRE;9
161;fontaine_de_trevi;203;1785;2020;SEPTEMBRE;9
219;pantheon;66;771;2020;SEPTEMBRE;9
277;piazza_san_marco;68;388;2020;SEPTEMBRE;9
335;pont_du_raltio;69;285;2020;SEPTEMBRE;9
46;colisee;137;1876;2020;OCTOBRE;10
104;doges;36;447;2020;OCTOBRE;10
162;fontaine_de_trevi;90;1875;2020;OCTOBRE;10
220;pantheon;43;814;2020;OCTOBRE;10
278;piazza_san_marco;23;411;2020;OCTOBRE;10
336;pont_du_raltio;24;309;2020;OCTOBRE;10
47;colisee;68;1944;2020;NOVEMBRE;11
105;doges;1;448;2020;NOVEMBRE;11
163;fontaine_de_trevi;48;1923;2020;NOVEMBRE;11
221;pantheon;26;840;2020;NOVEMBRE;11
279;piazza_san_marco;5;416;2020;NOVEMBRE;11
337;pont_du_raltio;4;313;2020;NOVEMBRE;11
48;colisee;19;1963;2020;DECEMBRE;12
106;doges;1;449;2020;DECEMBRE;12
164;fontaine_de_trevi;11;1934;2020;DECEMBRE;12
222;pantheon;8;848;2020;DECEMBRE;12
280;piazza_san_marco;1;417;2020;DECEMBRE;12
338;pont_du_raltio;1;314;2020;DECEMBRE;12
49;colisee;10;10;2021;JANVIER;1
107;doges;0;0;2021;JANVIER;1
165;fontaine_de_trevi;12;12;2021;JANVIER;1
223;pantheon;3;3;2021;JANVIER;1
281;piazza_san_marco;3;3;2021;JANVIER;1
339;pont_du_raltio;1;1;2021;JANVIER;1
50;colisee;22;32;2021;FEVRIER;2
108;doges;0;0;2021;FEVRIER;2
166;fontaine_de_trevi;13;25;2021;FEVRIER;2
224;pantheon;11;14;2021;FEVRIER;2
282;piazza_san_marco;5;8;2021;FEVRIER;2
340;pont_du_raltio;2;3;2021;FEVRIER;2
51;colisee;6;38;2021;MARS;3
109;doges;0;0;2021;MARS;3
167;fontaine_de_trevi;2;27;2021;MARS;3
225;pantheon;6;20;2021;MARS;3
283;piazza_san_marco;1;9;2021;MARS;3
341;pont_du_raltio;1;4;2021;MARS;3
52;colisee;6;44;2021;AVRIL;4
110;doges;0;0;2021;AVRIL;4
168;fontaine_de_trevi;10;37;2021;AVRIL;4
226;pantheon;3;23;2021;AVRIL;4
284;piazza_san_marco;6;15;2021;AVRIL;4
342;pont_du_raltio;1;5;2021;AVRIL;4
53;colisee;43;87;2021;MAI;5
111;doges;0;0;2021;MAI;5
169;fontaine_de_trevi;25;62;2021;MAI;5
227;pantheon;20;43;2021;MAI;5
285;piazza_san_marco;6;21;2021;MAI;5
343;pont_du_raltio;6;11;2021;MAI;5
54;colisee;56;143;2021;JUIN;6
112;doges;0;0;2021;JUIN;6
170;fontaine_de_trevi;42;104;2021;JUIN;6
228;pantheon;23;66;2021;JUIN;6
286;piazza_san_marco;21;42;2021;JUIN;6
344;pont_du_raltio;11;22;2021;JUIN;6
55;colisee;74;217;2021;JUILLET;7
113;doges;0;0;2021;JUILLET;7
171;fontaine_de_trevi;54;158;2021;JUILLET;7
229;pantheon;30;96;2021;JUILLET;7
287;piazza_san_marco;13;55;2021;JUILLET;7
345;pont_du_raltio;7;29;2021;JUILLET;7
56;colisee;75;292;2021;AOUT;8
114;doges;0;0;2021;AOUT;8
172;fontaine_de_trevi;32;190;2021;AOUT;8
230;pantheon;18;114;2021;AOUT;8
288;piazza_san_marco;15;70;2021;AOUT;8
346;pont_du_raltio;7;36;2021;AOUT;8
57;colisee;104;396;2021;SEPTEMBRE;9
115;doges;0;0;2021;SEPTEMBRE;9
173;fontaine_de_trevi;78;268;2021;SEPTEMBRE;9
231;pantheon;44;158;2021;SEPTEMBRE;9
289;piazza_san_marco;21;91;2021;SEPTEMBRE;9
347;pont_du_raltio;12;48;2021;SEPTEMBRE;9
58;colisee;97;493;2021;OCTOBRE;10
116;doges;0;0;2021;OCTOBRE;10
174;fontaine_de_trevi;35;303;2021;OCTOBRE;10
232;pantheon;15;173;2021;OCTOBRE;10
290;piazza_san_marco;6;97;2021;OCTOBRE;10
348;pont_du_raltio;2;50;2021;OCTOBRE;10
